State,Quarter,Varroa Mites,Other Pests and Parasites,Diseases,Pesticides,Other,Unknown
Alabama,January-March 2024,24.0,18.8,6.3,1.9,2.9,4.5
Arizona,January-March 2024,15.5,0.5,1.4,0.6,(Z),2.4
Arkansas,January-March 2024,32.0,14.2,0.9,2.0,3.4,4.3
California,January-March 2024,56.8,24.1,18.2,20.9,17.7,14.8
Colorado,January-March 2024,5.4,4.3,(Z),(Z),1.8,1.0
Connecticut,January-March 2024,7.8,0.9,,(Z),,0.6
Florida,January-March 2024,28.2,10.5,2.5,9.8,4.2,3.3
Georgia,January-March 2024,18.5,8.9,0.5,1.1,3.6,5.7
Idaho,January-March 2024,27.4,5.4,6.0,,5.7,1.0
Illinois,January-March 2024,34.6,13.9,2.4,4.6,2.5,11.5
Indiana,January-March 2024,43.7,3.2,,,3.3,(Z)
Iowa,January-March 2024,15.0,0.7,0.7,(Z),3.2,1.7
Kansas,January-March 2024,23.5,2.0,0.7,1.0,15.5,2.7
Kentucky,January-March 2024,9.0,7.3,4.6,2.8,1.9,5.5
Louisiana,January-March 2024,11.0,2.8,3.1,3.5,5.5,4.7
Maine,January-March 2024,21.1,0.9,,,0.1,
Maryland,January-March 2024,24.7,12.4,(Z),,7.1,
Massachusetts,January-March 2024,3.7,0.8,(Z),,0.6,2.6
Michigan,January-March 2024,4.3,0.6,0.5,1.1,1.0,1.4
Minnesota,January-March 2024,11.9,(Z),1.1,,2.0,0.5
Mississippi,January-March 2024,25.0,7.5,3.9,4.1,3.1,7.8
Missouri,January-March 2024,15.0,2.1,0.6,0.5,7.5,3.5
Montana,January-March 2024,(Z),,,,,
Nebraska,January-March 2024,14.8,,,,(Z),0.8
New Jersey,January-March 2024,20.7,3.2,,,1.7,4.1
New Mexico,January-March 2024,91.9,0.5,74.0,,0.7,(Z)
New York,January-March 2024,21.5,4.8,10.5,1.7,4.8,1.8
North Carolina,January-March 2024,29.2,1.2,(Z),,1.6,2.5
North Dakota,January-March 2024,23.6,,,,7.1,3.5
Ohio,January-March 2024,35.3,9.7,2.1,1.7,5.4,3.1
Oklahoma,January-March 2024,34.0,18.8,3.3,1.1,1.0,0.9
Oregon,January-March 2024,24.3,1.5,22.6,22.3,,(Z)
Pennsylvania,January-March 2024,16.5,2.3,1.9,,3.2,5.7
South Carolina,January-March 2024,36.1,7.4,(Z),1.8,3.3,3.5
South Dakota,January-March 2024,42.9,2.7,2.7,(Z),,(Z)
Tennessee,January-March 2024,13.6,5.4,(Z),0.7,2.1,10.4
Texas,January-March 2024,22.2,5.6,0.9,4.5,1.8,2.7
Utah,January-March 2024,13.2,5.3,6.6,0.7,(Z),4.5
Vermont,January-March 2024,6.8,1.2,(Z),0.8,4.0,1.7
Virginia,January-March 2024,21.0,7.5,1.4,1.1,4.4,3.1
Washington,January-March 2024,18.4,,,,2.8,8.8
West Virginia,January-March 2024,12.9,2.4,(Z),,3.9,2.0
Wisconsin,January-March 2024,11.3,1.7,0.6,(Z),1.7,2.7
Wyoming,January-March 2024,21.0,(Z),,,20.0,0.9
Other States,January-March 2024,29.7,22.0,1.1,(Z),5.1,(Z)
United States,January-March 2024,43.3,15.0,10.9,12.4,10.6,9.1
Alabama,April-June 2024,62.4,23.4,3.9,2.4,5.2,1.3
Arizona,April-June 2024,11.7,(Z),(Z),1.0,1.0,
Arkansas,April-June 2024,34.4,14.6,2.7,12.7,15.0,8.6
California,April-June 2024,55.0,30.7,1.8,29.3,16.8,4.6
Colorado,April-June 2024,1.2,,,(Z),0.9,(Z)
Connecticut,April-June 2024,6.3,1.1,(Z),(Z),2.5,(Z)
Florida,April-June 2024,44.4,13.7,2.9,13.3,13.1,2.0
Georgia,April-June 2024,31.6,10.8,1.2,2.5,9.1,2.2
Idaho,April-June 2024,32.7,6.6,3.0,1.2,12.2,(Z)
Illinois,April-June 2024,32.0,13.4,0.6,0.6,3.6,3.2
Indiana,April-June 2024,21.9,13.6,(Z),,1.8,1.7
Iowa,April-June 2024,17.1,7.9,3.3,(Z),7.8,1.2
Kansas,April-June 2024,42.0,5.8,2.2,21.5,1.4,2.7
Kentucky,April-June 2024,36.7,30.2,27.3,29.4,,27.4
Louisiana,April-June 2024,17.5,1.4,,1.0,16.8,1.1
Maine,April-June 2024,3.1,(Z),(Z),1.2,,(Z)
Maryland,April-June 2024,26.9,0.6,,0.5,0.9,1.1
Massachusetts,April-June 2024,6.6,0.8,0.5,,2.1,(Z)
Michigan,April-June 2024,24.4,10.5,9.7,7.6,4.2,4.8
Minnesota,April-June 2024,24.4,2.4,0.9,0.8,0.5,0.5
Mississippi,April-June 2024,24.7,1.3,,(Z),(Z),14.3
Missouri,April-June 2024,13.5,7.1,0.5,0.5,2.1,6.0
Montana,April-June 2024,10.6,(Z),1.4,3.4,(Z),
Nebraska,April-June 2024,5.9,1.1,0.7,(Z),0.7,3.5
New Jersey,April-June 2024,16.6,3.0,1.5,1.0,0.9,0.7
New Mexico,April-June 2024,26.7,(Z),,1.1,(Z),2.1
New York,April-June 2024,39.3,6.7,2.8,3.0,3.5,6.0
North Carolina,April-June 2024,17.0,3.6,(Z),(Z),0.8,1.0
North Dakota,April-June 2024,41.9,12.0,3.0,(Z),17.6,1.4
Ohio,April-June 2024,35.0,4.6,0.5,4.6,21.9,1.3
Oklahoma,April-June 2024,13.4,2.3,1.9,1.5,7.8,(Z)
Oregon,April-June 2024,5.3,0.9,3.5,2.2,(Z),
Pennsylvania,April-June 2024,30.1,10.7,1.2,7.7,2.0,1.8
South Carolina,April-June 2024,31.6,26.7,1.9,8.2,5.4,0.9
South Dakota,April-June 2024,70.0,63.6,(Z),23.8,65.0,(Z)
Tennessee,April-June 2024,54.1,5.3,,0.7,5.1,3.0
Texas,April-June 2024,60.0,52.4,(Z),1.6,5.5,0.6
Utah,April-June 2024,9.6,(Z),2.4,1.2,0.7,8.8
Vermont,April-June 2024,5.6,1.1,1.1,,0.5,(Z)
Virginia,April-June 2024,23.4,8.5,6.6,(Z),7.7,1.0
Washington,April-June 2024,54.0,11.7,2.3,9.8,19.1,11.6
West Virginia,April-June 2024,16.1,2.9,0.5,1.5,3.7,0.9
Wisconsin,April-June 2024,30.0,11.3,11.1,3.9,5.2,16.5
Wyoming,April-June 2024,12.4,1.3,(Z),(Z),,2.6
Other States,April-June 2024,39.1,32.9,32.0,33.7,7.3,3.8
United States,April-June 2024,54.8,27.5,3.3,15.4,18.0,4.3
